"Source:","C:\Users\felip\OneDrive\Documents\KiCad\SafetyPCB\SafetyPCB.kicad_sch"
"Date:","11/5/2022 12:25:50 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","ARROW PART NUMBER","ARROW PRICE/STOCK","DATASHEET LINK","HEIGHT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","PUBLISHER"
"","","J4","~","Sheet1-altium-import:3_171975-0002","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_1719750002","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7.38mm","","","Molex","171975-0002","538-171975-0002","https://www.mouser.co.uk/ProductDetail/Molex/171975-0002?qs=lc2O%252BfHJPVZp75AIAAjPAw%3D%3D",""
"","","J5","~","Sheet1-altium-import:3_171975-0002","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_1719750002","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7.38mm","","","Molex","171975-0002","538-171975-0002","https://www.mouser.co.uk/ProductDetail/Molex/171975-0002?qs=lc2O%252BfHJPVZp75AIAAjPAw%3D%3D",""
"","","J6","2013499-1","SafetyPCB-altium-import:0_2013499-1","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_2013499-1","","2013499-1","https://www.arrow.com/en/products/2013499-1/te-connectivity","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2013499%7FB2%7Fpdf%7FEnglish%7FENG_CD_2013499_B2.pdf%7F2013499-1","","","","TE Connectivity","2013499-1","571-2013499-1","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/2013499-1/?qs=TL6PIybY3BOLK37GbUYdng%3D%3D",""
"","","J7","1719750003","SafetyPCB-altium-import:2_1719750003","171975YY03","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7mm","","","Molex","1719750003","","",""
"","","K1","~","Sheet1-altium-import:1_1422037-2","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_14220372","","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-98010&DocType=SS&DocLang=EN","11.7mm","","","TE Connectivity","1422037-2","655-1422037-2","https://www.mouser.com/Search/Refine.aspx?Keyword=655-1422037-2",""
"","","K2","~","Sheet1-altium-import:1_1422037-2","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_14220372","","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-98010&DocType=SS&DocLang=EN","11.7mm","","","TE Connectivity","1422037-2","655-1422037-2","https://www.mouser.com/Search/Refine.aspx?Keyword=655-1422037-2",""
"","","LED3","LTST-C191TBKT-5A","SafetyPCB-altium-import:1_LTST-C191TBKT-5A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_LEDC1608X65N","","LTST-C191TBKT-5A","https://www.arrow.com/en/products/ltst-c191tbkt-5a/lite-on-technology","http://www.mouser.com/ds/2/239/S_110_LTST-C191TBKT-5A-336399.pdf","0.65mm","","","Lite-On","LTST-C191TBKT-5A","859-LTST-C191TBKT-5A","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C191TBKT-5A/?qs=xb8aMrBSZRLgwF8AXHEbeQ%3D%3D",""
"","","LED4","LTST-C191TBKT-5A","SafetyPCB-altium-import:1_LTST-C191TBKT-5A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_LEDC1608X65N","","LTST-C191TBKT-5A","https://www.arrow.com/en/products/ltst-c191tbkt-5a/lite-on-technology","http://www.mouser.com/ds/2/239/S_110_LTST-C191TBKT-5A-336399.pdf","0.65mm","","","Lite-On","LTST-C191TBKT-5A","859-LTST-C191TBKT-5A","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C191TBKT-5A/?qs=xb8aMrBSZRLgwF8AXHEbeQ%3D%3D",""
"","","LED5","LTST-C191TBKT-5A","SafetyPCB-altium-import:1_LTST-C191TBKT-5A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_LEDC1608X65N","","LTST-C191TBKT-5A","https://www.arrow.com/en/products/ltst-c191tbkt-5a/lite-on-technology","http://www.mouser.com/ds/2/239/S_110_LTST-C191TBKT-5A-336399.pdf","0.65mm","","","Lite-On","LTST-C191TBKT-5A","859-LTST-C191TBKT-5A","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C191TBKT-5A/?qs=xb8aMrBSZRLgwF8AXHEbeQ%3D%3D",""
"","","NT1","~","Sheet1-altium-import:0_NetTie10","NetTie","","","","","","","","","","","",""
"","","P2","Header 3X2","SafetyPCB-altium-import:0_Header 3X2","HDR2X3","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited"
"","","Q1","~","Sheet1-altium-import:0_mirrored_BCW66GLT1G","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT95P237X111-3N","","BCW66GLT1G","https://www.arrow.com/en/products/bcw66glt1g/on-semiconductor","http://www.onsemi.com/pub/Collateral/BCW66GLT1-D.PDF","1.11mm","","","ON Semiconductor","BCW66GLT1G","863-BCW66GLT1G","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/BCW66GLT1G?qs=R2UZ7gjkEjKs0bN2RlXbWw%3D%3D",""
"","","Q2","~","Sheet1-altium-import:0_mirrored_BCW66GLT1G","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT95P237X111-3N","","BCW66GLT1G","https://www.arrow.com/en/products/bcw66glt1g/on-semiconductor","http://www.onsemi.com/pub/Collateral/BCW66GLT1-D.PDF","1.11mm","","","ON Semiconductor","BCW66GLT1G","863-BCW66GLT1G","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/BCW66GLT1G?qs=R2UZ7gjkEjKs0bN2RlXbWw%3D%3D",""
"","","Q3","~","Sheet1-altium-import:0_mirrored_BCW66GLT1G","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT95P237X111-3N","","BCW66GLT1G","https://www.arrow.com/en/products/bcw66glt1g/on-semiconductor","http://www.onsemi.com/pub/Collateral/BCW66GLT1-D.PDF","1.11mm","","","ON Semiconductor","BCW66GLT1G","863-BCW66GLT1G","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/BCW66GLT1G?qs=R2UZ7gjkEjKs0bN2RlXbWw%3D%3D",""
